iteration,total_iterations,elapsed_ms,learning_rate,loss
10,200,1531.5,0.0004980289,9.377221
20,200,1227.9,0.0004900758,6.513377
30,200,1229.3,0.000476217,6.364495
40,200,1228.6,0.0004568008,6.23879
50,200,1228.3,0.0004323148,6.144811
60,200,1230.0,0.0004033744,6.037647
70,200,1233.4,0.0003707064,5.910862
80,200,1235.2,0.0003351317,5.856274
90,200,1236.8,0.0002975438,5.782002
100,200,1234.3,0.0002588872,5.712584
110,200,1236.4,0.0002201329,5.653822
120,200,1235.5,0.0001822545,5.57445
130,200,1237.7,0.0001462037,5.498209
140,200,1238.0,0.0001128861,5.412876
150,200,1239.0,8.313865e-05,5.362771
160,200,1238.6,5.770879e-05,5.331587
170,200,1236.6,3.723531e-05,5.313776
180,200,1239.1,2.223258e-05,5.29987
190,200,1237.2,1.307747e-05,5.272041
200,200,1237.6,1e-05,5.266138
